,Title,CompanyName,Rating,Location,Summary,date,Url,Details
121,Head of Machine Learning Data Engineering,TeamViewer GmbH,3.4,"HSR Layout, Bengaluru, Karnataka","Experience in defining strategy, building and running teams of 20+ data engineers or data scientists.Extensive data analysis and interpretation background to…",Just posted,https://www.indeed.com/viewjob?jk=5f900867e4d39457,Company Description BlueOptima provides industry-leading objective metrics in software development u...
122,Data Science,,,"Bengaluru, Karnataka",Extending company's data with third party sources of information when needed.Enhancing data collection procedures to include information that is relevant for…,30+ days ago,https://www.indeed.com/viewjob?jk=4d8408ec9985678f,"Selecting features, building and optimizing classifiers using machine learning techniques. Data mini..."
123,Lead Data Scientist,freshworks,4.4,"Bengaluru, Karnataka",We have data on both voice and texts.Build efficient systems for processing large amounts of data; be proficient with distributed programming frameworks such…,30+ days ago,https://www.indeed.com/viewjob?jk=b7f3e64270445110,About Freshworks:- Freshworks provides innovative customer engagement software for businesses of all...
124,Senior Data Scientist - Machine learning,,,"Bengaluru, Karnataka",Work with data engineers and/or data analysts to procure data and test it for problems.Advanced experience in data visualization tools with a strong grasp of…,6 days ago,https://www.indeed.com/viewjob?jk=15dff068394a640b,About Fractal Fractal is one of the most prominent players in the Artificial Intelligence space. Fr...
125,Manager - Data Scientist,Genpact,3.8,"Bengaluru, Karnataka",Conduct explanatory data analysis and prepare data sources to be analyzed.Think strategically about data as a core enterprise asset and assist in all phases of…,1 day ago,https://www.indeed.com/viewjob?jk=30d5e0593bec1d0d,"Manager - Data Scientist-CPG022467 With a startup spirit and 90,000+ curious and courageous minds, w..."
126,Data Science Analyst,Cigna,3.7,"Bengaluru, Karnataka","Identify data or technology gaps and offer high level requirements.Working knowledge of contact data and channel operations -- IVR, Digital, Chat, EDI, App,…",16 days ago,https://www.indeed.com/viewjob?jk=3777199cef2733fe,
127,Senior Data Scientist,,,"Bengaluru, Karnataka",Perform exploratory and targeted data analyses.Perform feature engineering through extracting meaningful features from measured/derived data.,30+ days ago,https://www.indeed.com/viewjob?jk=44a6d7d38fec9f2a,
128,Lead Data Scientist,AirAsia,4.2,"Bengaluru, Karnataka",Ability to mentor junior data scientists.Research and devise innovative statistical/big data models for data analysis to benefit the whole team.,9 days ago,https://www.indeed.com/viewjob?jk=7c296eebc248a41d,
129,Lead Data Scientist,,,"Bengaluru, Karnataka","5+ years of hands-on experience with analytics, data science and big data experience in a business context.Experience with data visualization and presentation,…",30+ days ago,https://www.indeed.com/viewjob?jk=798b0099f3d69618,
130,NLP Engineer/Scientist,,,"Bengaluru, Karnataka",NLP Scientists are responsible for producing innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.,30+ days ago,https://www.indeed.com/viewjob?jk=78c72b328d738a94,
131,Principal Data Scientist,,,"Bengaluru, Karnataka","You will be responsible for identifying and building various ML models that can leverage multiple signal sources from both online and instore data, to improve…",22 days ago,https://www.indeed.com/viewjob?jk=b89dfc318ff24d63,
132,Data Scientist / Machine Learning Expert,,,"Bengaluru, Karnataka","Strong intuition for data and Keen aptitude on large scale data analysis.6-9 years of strong experience in data mining, machine learning and statistical…",30+ days ago,https://www.indeed.com/viewjob?jk=6db18db2956c981c,
133,Data Scientist,Arista Networks,4.1,"Bengaluru, Karnataka",Two years of experience in data science/AI technologies.Invent data science algorithms and measure their effectiveness across all of Awake’s customers.,30+ days ago,https://www.indeed.com/viewjob?jk=d64488f701495423,
134,Machine Learning Engineers (MLE-1),Appnomic Systems Pvt. Ltd,4.3,"Bengaluru, Karnataka","Understanding of data structures, data modeling and software architecture.Products handle very high volumes of streaming data and perform complex learnings on…",30+ days ago,https://www.indeed.com/viewjob?jk=df98c4c2adf452d0,
